nome_datacenter;operadora;endereco;cep;cidade;estado;pais;latitude;longitude;status;stage;tipo_listagem;tipo_capacidade;tags;link_datacenter;mw_construido;mw_referenciado;whitespace_construido_m;whitespace_referenciado_m;ano_operacional;tipo_construcao;tipo_ocupacao;carga_piso_max_kg_m;redundancia_refrigeracao;cctv;controle_acesso_cartao;biometria;tier_projetado;tier_certificado;pci_dss;iso9001;iso14001;iso22301;iso27001;iso45001;iso50001;soc1;soc2;soc3;colo_suites;colo_cages;colo_cabinets;colo_partial_cabinets;colo_shared_rackspace;colo_footprints;colo_remote_hands;colo_build_to_suit;cloud_gpu;cloud_managed;cloud_baremetal;cloud_public_cloud;qtd_ixps;qtd_clouds;qtd_redes_presentes;qtd_provedores_rede;qtd_provedores_servico;codigo_site;peeringdb_id;cache_overview_status;cache_specs_status
Ascenty - Rio de Janeiro RJ1;Ascenty Data Centers;Avenida Coronel Phidias Tavora, 513;21535-510;Rio de Janeiro;-;Brazil;-22.8059441;-43.3480909;1;2;Facility;Colocation;;https://www.datacentermap.com/brazil/rio-de-janeiro/av-cel-phidias-távora-513-1/;15.0;15.0;;;2017.0;Retrofitted;Multi-tenant (data centers only);1564.0;N+2;1.0;1.0;1.0;3.0;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0;2.0;;;;;;;;;;;;;0;0;7;0;0;RIO01;7592.0;bloqueado;ok
Ascenty- Rio de Janeiro RJ2;Ascenty Data Centers;R. Mercúrio, 1736;21535-510;Rio de Janeiro;;Brazil;-22.8050847;-43.3484313;1;2;Facility;Colocation;Carrier Neutral;https://www.datacentermap.com/brazil/rio-de-janeiro/av-cel-phidias-távora-513-2/;3.0;3.0;3493.0;3493.0;2021.0;Retrofitted;;1564.0;N+2;1.0;1.0;1.0;0.0;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0;2.0;;;;;;;;;;;;;0;0;5;0;0;RIO02;7593.0;bloqueado;ok
Ascenty - Sao Paulo SP1;Ascenty Data Centers;Avenida Roberto Pinto Sobrinho, 350;06268-120;Osasco;;Brazil;-23.4920417;-46.7759971;1;2;Facility;Colocation;;https://www.datacentermap.com/brazil/sao-paulo/av-roberto-pinto-sobrinho-350-1/;6.0;6.0;3493.0;3493.0;2017.0;Retrofitted;Multi-tenant (data centers only);1526.0;N+2;1.0;1.0;1.0;3.0;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0;2.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;;0.0;0.0;0.0;0.0;0;0;50;2;1;SP01;7579.0;ok;ok
Ascenty - Sao Paulo SP2;Ascenty Data Centers;Avenida Roberto Pinto Sobrinho, 350;06268-120;Osasco;;Brazil;-23.4923861;-46.7771987;1;2;Facility;Colocation;Carrier Neutral;https://www.datacentermap.com/brazil/sao-paulo/av-roberto-pinto-sobrinho-350-2/;14.0;14.0;8491.0;8491.0;2017.0;Retrofitted;;1526.0;N+1;1.0;1.0;1.0;3.0;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0;2.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;;0.0;0.0;0.0;0.0;0;0;120;2;0;SP02;7580.0;ok;ok
Ascenty - Sao Paulo SP3;Ascenty Data Centers;Avenida Roberto Pinto Sobrinho, 350;06268-120;Osasco;;Brazil;-23.491232;-46.7759313;1;2;Facility;Colocation;Carrier Neutral;https://www.datacentermap.com/brazil/sao-paulo/av-roberto-pinto-sobrinho-350-3/;4.0;4.0;3995.0;3995.0;2020.0;Retrofitted;;1526.0;N+2;1.0;1.0;1.0;3.0;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0;2.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;;0.0;0.0;0.0;0.0;0;0;93;1;0;SP03;7581.0;ok;ok
Avato Joinville;Ávato;Av. Santos Dumont, 935 - Santo Antônio;89223-002;Joinville;;Brazil;-26.26412048317817;-48.85177190343191;1;2;Facility;Colocation;;https://www.datacentermap.com/brazil/joinville/avato-joinville/;;;300.0;300.0;2012.0;Retrofitted;Multi-tenant (mixed use);;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;0;0;4;0;0;;6362.0;bloqueado;ok
B3 Data Center;B3 S.A. – Brasil, Bolsa, Balcão;R. Ricardo Prudente de Aquino, 85 - Res. Tambore III;06543-004;Santana de Parnaiba;;Brazil;-23.4662448;-46.863993;1;2;Facility;Colocation;;https://www.datacentermap.com/brazil/sao-paulo/b3-data-center/;;;;;;;;;;1.0;;1.0;3.0;3.0;;;;;;;;;;;;;;;;;;;;;;;0;0;0;1;0;;;bloqueado;ok
BRDrive Data Center;BRDrive;R. Frederico Bortolaz, 971 - Panazzolo;89566-060;Videira;;Brazil;-27.0019197;-51.16753689999999;1;2;Facility;Colocation;;https://www.datacentermap.com/brazil/videira/brdrive-data-center/;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;1.0;1.0;;1.0;;;;;;0;0;1;0;0;;5888.0;ok;ok
BRDrive - Santa Catarina - VDA;BRDrive;Rua Frederico Bortolaz;89566060;Videira;SC;Brazil;-27.0018484;-51.1675386;1;2;Facility;Colocation;;https://www.datacentermap.com/brazil/videira/brdrive-sc-vda/;0.5;0.5;100.0;100.0;2015.0;;Multi-tenant (data centers only);;N+1;1.0;1.0;1.0;3.0;;;;;;;;;;;;0.0;0.0;0.0;0.0;1.0;0.0;1.0;;0.0;1.0;1.0;0.0;0;0;0;1;0;;;ok;ok
CDZNet Data Center;cdznet data center;R. Independência, 2472;15025-095;Sao Jose do Rio Preto;SP;Brazil;-20.8119075;-49.3886276;1;2;Facility;Colocation;;https://www.datacentermap.com/brazil/sao-paulo/cdznet-data-center/;;;;;;;;;;;;;;;;;;;;;;;;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;;0.0;1.0;1.0;0;0;0;0;0;;;ok;ok
