nome_datacenter;operadora;endereco;cep;link_datacenter
IPXON Rio de Janeiro;IPXON Networks;Av. Cel. Phidias Távora, 513 - Pavuna;21535-510;https://www.datacentermap.com/brazil/rio-de-janeiro/ipxon-rio-de-janeiro/
IPXON Sao Paulo;IPXON Networks;Avenida Roberto Pinto Sobrinho, 350;06276-125;https://www.datacentermap.com/brazil/sao-paulo/ipxon-sao-paulo/
KingHost Data Center;KingHost;Av. Cristóvão Colombo, 2360;90560-002;https://www.datacentermap.com/brazil/porto-alegre/kinghost/
Kyndryl Hortolandia;Kyndryl;Rodovia Jornalista Francisco Aguirre Proença, Km 09 - S/N;13186-900;https://www.datacentermap.com/brazil/sao-paulo/kyndryl-dc-hortolandia/
Local DC Campinas;Local DC;TBA - To Be Announced;13098-396;https://www.datacentermap.com/brazil/campinas/local-dc-campinas/
Lumen Fortaleza;Lumen;Av. Dioguinho, 2950;60182-001;https://www.datacentermap.com/brazil/fortaleza/lumen-fortaleza/
Cirion SAO1;Cirion;Av. Eid Mansur, 666;06708-070;https://www.datacentermap.com/brazil/sao-paulo/lumen-parque-sao-georgia/
Maila Networks DC1;Maila Networks;R. Baronesa do Gravataí 738;90160070;https://www.datacentermap.com/brazil/porto-alegre/maila-networks-dc1/
Maila Networks - DC2 ;Maila Networks;R. Gomes de Freitas;91380000;https://www.datacentermap.com/brazil/porto-alegre/maila-networks-dc2/
Master da Web;Master da Web;Rua Pirapetinga 196;30220150;https://www.datacentermap.com/brazil/belo-horizonte/master-da-web/
SBA Edge Sao Paulo;SBA Edge;Rua Jose Abrantes, 186;04756-010;https://www.datacentermap.com/brazil/sao-paulo/matrix/
Latitude.sh SAO;Latitude.sh;Rua Dr. Eduardo Martinelli, 100;04013050;https://www.datacentermap.com/brazil/sao-paulo/maxihost/
Microsoft Sao Paulo;Microsoft;Rua Santa Teresa, 64;01016-020;https://www.datacentermap.com/brazil/sao-paulo/microsoft-sao-paulo/
MiniDC MCR1;MiniDC by tryideas;R. Santa Catarina, 311 - Centro;85960-000;https://www.datacentermap.com/brazil/sao-paulo/minidc-mcr1/
NextStream Tamboré;NextStream;Av. Marcos Penteado de Ulhôa Rodrigues;06543-001;https://www.datacentermap.com/brazil/sao-paulo/nabiax-tambore/
NextStream Curitiba;NextStream;Rua Senador Accioly Filho, 2200 ;81350-200;https://www.datacentermap.com/brazil/curitiba/nextstream-curitiba/
NICNET - Cravinhos - Data Center;Nicnet Telecom Ltda;Rua Cesário Motta 231;14140000;https://www.datacentermap.com/brazil/cravinhos/nicnet-cravinhos-data-center/
NUV Datacenter - NUV1;NUV Datacenter;Rua Fioravanet Cassini, 28;29160-855;https://www.datacentermap.com/brazil/vitoria/nuv-datacenter-nuv1/
NUV Datacenter - NUV2;NUV Datacenter;R. Prof. Almeida Cousin, 125;29050-565;https://www.datacentermap.com/brazil/vitoria/nuv-datacenter-nuv2/
NWI Datacenter Brasília SIG;NWI;SIG Quadra 1 Lote 725;70610-410;https://www.datacentermap.com/brazil/brasilia/nwi-brasilia/
ODATA SP02 DC1;ODATA, an Aligned Data Centers Company;R. José Blumer, 150;13186-510;https://www.datacentermap.com/brazil/sao-paulo/odata-sp02-dc1/
ODATA SP02 DC2;ODATA, an Aligned Data Centers Company;R. José Blumer, 150;13186-510;https://www.datacentermap.com/brazil/sao-paulo/odata-sp02-dc2/
ODATA SP04;ODATA, an Aligned Data Centers Company;R. Herman, 02 - Industrial Anhangüera;06276-030;https://www.datacentermap.com/brazil/sao-paulo/odata-sp04/
Piauí Link Data Center;ETIPI - PI;Av. Pedro Freitas, 1570;64019-368;https://www.datacentermap.com/brazil/teresina/piau-link-data-center/
PIX G8 Aracaju;Megatelecom;Rua Pacatuba, 254;49010-150;https://www.datacentermap.com/brazil/aracaju/pix-g8-aracaju/
PIX G8 Brasilia;Megatelecom;Setor Comercial Norte Q 6 Id;70655-775;https://www.datacentermap.com/brazil/brasilia/pix-g8-brasilia/
PIX G8 Goiania;Megatelecom;Avenida T-63, 3182;74250-320;https://www.datacentermap.com/brazil/goiania/pix-g8-goiania/
PIX G8 Manaus;Megatelecom;Corporate Trade, Rodovia Alvaro Maia, 2357;69025-310;https://www.datacentermap.com/brazil/manaus/pix-g8-manaus/
